,NOS 1,NOS 2
Pair 1359,"('sfl206', 'drive the tanker on public roads in a fuel efficient manner', 'sfl206.pdf')","('sfldgv5', 'drive the goods vehicle on public roads in a fuel efficient manner', 'sfldgv5.pdf')"
Pair 1360,"('sfl217', 'deliver sessions for driver cpc', 'sfl217.pdf')","('sfl219', 'manage own reflective practice for driver cpc trainers', 'sfl219.pdf')"
Pair 1361,"('sfl221', 'confirm the goods vehicle is loaded correctly for multi-drop deliveries', 'sfl221.pdf')","('sfldgv7', 'confirm the goods vehicle is loaded correctly', 'sfldgv7.pdf')"
Pair 1362,"('sfl225', 'plan the route and timings for the collection or delivery of multi-drop loads', 'sfl225.pdf')","('sfldgv9', 'plan the route and timings for the collection or delivery of loads', 'sfldgv9.pdf')"
Pair 1363,"('sfl46', 'undertake the routing and scheduling of loads legacy', 'sfl46l.pdf')","('sflto46', 'routing and scheduling of loads legacy', 'sflto46l.pdf')"
Pair 1364,"('sfl48', 'produce costings for freight transport', 'sfl48.pdf')","('sfl48', 'produce costings for freight transport legacy', 'sfl48l.pdf')"
Pair 1365,"('sfl59', 'select and recommend methods for transporting goods', 'sfl59.pdf')","('sfl67', 'select service providers for transporting goods', 'sfl67.pdf')"
Pair 1366,"('sflbw1', 'manage the authorisation, guarantees and approval for excise warehouse premises', 'sflbw1.pdf')","('sflbw1', 'manage the authorisation, guarantees and approval for excise warehouse premises legacy', 'sflbw1l.pdf')"
Pair 1367,"('sfldgv5', 'lsfl5 drive the vehicle on public roads in a fuel efficient manner legacy', 'sfldgv5l.pdf')","('sfssfl5', 'drive the vehicle on public roads in a fuel efficient manner', 'sfssfl5.pdf')"
Pair 1368,"('sflitlo65', 'process transport documentation for goods legacy', 'sflitlo65l.pdf')","('sflitlo66', 'process financial documentation for goods legacy', 'sflitlo66l.pdf')"
Pair 1369,"('sflitlo7', 'process, complete and submit financial documentation for the movement of goods', 'sflitlo7.pdf')","('sflitlo8', 'process, complete and submit transport documentation for goods', 'sflitlo8.pdf')"
Pair 1370,"('sflms142', 'handle mail legacy', 'sflms142l.pdf')","('sfsmhs2', 'handle mail', 'sfsmhs2.pdf')"
Pair 1371,"('sflscm107', 'schedule the distribution of supplies', 'sflscm107.pdf')","('sflscm110', 'schedule the transportation of supplies', 'sflscm110.pdf')"
Pair 1372,"('sflscm107', 'sfl107 schedule the distribution of supplies legacy', 'sflscm107l.pdf')","('sflscm110', 'sfl110 schedule the transportation of supplies legacy', 'sflscm110l.pdf')"
Pair 1373,"('sflscm118', 'complete export procedures and requirements', 'sflscm118.pdf')","('sflscm119', 'complete import procedures and requirements', 'sflscm119.pdf')"
Pair 1374,"('sflscm118', 'sfl118 complete export procedures and requirements legacy', 'sflscm118l.pdf')","('sflscm119', 'sfl119 complete import procedures and requirements legacy', 'sflscm119l.pdf')"
Pair 1375,"('sflscm128', 'sfl128 obtain information on storage locations and facilities legacy', 'sflscm128l.pdf')","('sflscm134', 'sfl134 obtain information on the supply chain legacy', 'sflscm134l.pdf')"
Pair 1376,"('sflscm76', 'develop a supply chain strategy for the organisation', 'sflscm76.pdf')","('sflscm76', 'sfl76 develop a supply chain strategy for the organisation legacy', 'sflscm76l.pdf')"
Pair 1377,"('sflws32', 'sort goods and materials for recycling or disposal in logistics operations', 'sflws32.pdf')","('sflws32', 'sort goods and materials for recycling or disposal legacy', 'sflws32l.pdf')"
Pair 1378,"('sfs16l', 'assess and address risk to the environment legacy', 'sfs16.pdf')","('sfsee16 ', 'assess and address risks to the environment', 'sfsee16.pdf')"
Pair 1379,"('sfs17l', 'use radio communications effectively legacy', 'sfs17.pdf')","('sfsee17 ', 'use radio communications effectively', 'sfsee17.pdf')"
Pair 1380,"('sfs4l', 'communicate effectively with others legacy', 'sfs4.pdf')","('sfsee4', 'communicate effectively with others', 'sfsee4.pdf')"
Pair 1381,"('sfs6l', 'work effectively with other agencies legacy', 'sfs6.pdf')","('sfsee6', 'work effectively with staff in other agencies', 'sfsee6.pdf')"
Pair 1382,"('sfsctv1', 'maintain confidentiality and security of information from cctv', 'sfsctv1.pdf')","('sfs ctv 1l', 'maintain confidentiality and security of information from cctv legacy', 'sfsctv1l.pdf')"
Pair 1383,"('sfsctv10', 'maintain security of cctv control room and facilities', 'sfsctv10.pdf')","('sfs ctv 10l', 'maintain security of cctv control room and facilities legacy', 'sfsctv10l.pdf')"
Pair 1384,"('sfsctv11', 'arrange for deployment of cctv cameras', 'sfsctv11.pdf')","('sfs ctv 11l', 'arrange for deployment of cctv cameras legacy', 'sfsctv11l.pdf')"
Pair 1385,"('sfsctv12', 'manage service continuity of cctv operations', 'sfsctv12.pdf')","('sfs ctv 12l', 'manage service continuity of cctv operations legacy', 'sfsctv12l.pdf')"
Pair 1386,"('sfsctv13', 'maintain and preserve cctv systems and recorded data', 'sfsctv13.pdf')","('sfs ctv 13l', 'maintain cctv recording media libraries and preserve potential evidence legacy', 'sfsctv13l.pdf')"
Pair 1387,"('sfsctv2', 'arrange for the performance of cctv systems to be maintained', 'sfsctv2.pdf')","('sfs ctv 2l', 'arrange for the performance of cctv systems to be maintained legacy', 'sfsctv2l.pdf')"
Pair 1388,"('sfsctv5', 'select, recruit and manage operational cctv staff', 'sfsctv5.pdf')","('sfs ctv 5l', 'select, recruit and manage operational cctv staff legacy', 'sfsctv5l.pdf')"
Pair 1389,"('sfsctv6', 'supervise cctv control room operatives', 'sfsctv6.pdf')","('sfs ctv 6l', 'supervise cctv control room operatives legacy', 'sfsctv6l.pdf')"
Pair 1390,"('sfsctv7', 'develop operational requirements for cctv', 'sfsctv7.pdf')","('sfs ctv 7l', 'develop operational requirements for cctv legacy', 'sfsctv7l.pdf')"
Pair 1391,"('sfsctv8', 'provide recorded media produced by cctv systems to authorised third parties and internal clients', 'sfsctv8.pdf')","('sfs ctv 8l', 'provide recorded media to authorised third parties and internal clients legacy', 'sfsctv8l.pdf')"
Pair 1392,"('sfsctv9', 'record information within cctv operations', 'sfsctv9.pdf')","('sfs ctv 9l', 'record information within cctv operations legacy', 'sfsctv9l.pdf')"
Pair 1393,"('sfsinv 1', 'contribute to the effectiveness of investigation teams', 'sfsinv 1.pdf')","('sfsinv1', 'contribute to the effectiveness of investigation teams', 'sfsinv1.pdf')"
Pair 1394,"('sfsinv10', 'take part in surveillance operations', 'sfsinv10.pdf')","('sfsinv10l', 'take part in surveillance operations legacy', 'sfsinv10l.pdf')"
Pair 1395,"('sfsinv11', 'trace people', 'sfsinv11.pdf')","('sfsinv11l', 'trace people legacy', 'sfsinv11l.pdf')"
Pair 1396,"('sfsinv12', 'enter and integrate data, and present information using a computer system', 'sfsinv12.pdf')","('sfsinv12l', 'enter and integrate data, and present information using a computer system legacy', 'sfsinv12l.pdf')"
Pair 1397,"('sfsinv2', 'advise clients on the viability and consequences of carrying out investigations', 'sfsinv2.pdf')","('sfsinv2l', 'advise clients on the viability and consequences of carrying out investigations legacy', 'sfsinv2l.pdf')"
Pair 1398,"('sfsinv4', 'interview suspects to collect information', 'sfsinv4.pdf')","('sfsinv4l', 'interview suspects to collect information legacy', 'sfsinv4l.pdf')"
Pair 1399,"('sfsinv5', 'carry out searches of people and places to obtain evidence', 'sfsinv5.pdf')","('sfsinv5l', 'carry out physical searches to obtain evidence legacy', 'sfsinv5l.pdf')"
Pair 1400,"('sfsinv6', 'plan and co-ordinate investigations', 'sfsinv6.pdf')","('sfsinv6l', 'plan and co-ordinate investigations legacy', 'sfsinv6l.pdf')"
Pair 1401,"('sfsinv7', 'investigate sources of information and develop intelligence for investigations', 'sfsinv7.pdf')","('sfsinv7l', 'investigate sources of information and develop intelligence for investigations legacy', 'sfsinv7l.pdf')"
Pair 1402,"('sfsinv8', 'process evidence arising from investigations', 'sfsinv8.pdf')","('sfsinv8l', 'handle evidence arising from investigations legacy', 'sfsinv8l.pdf')"
Pair 1403,"('sfskr50', 'respond to keyholding attendance requests', 'sfskr50.pdf')","('sfskr50l', 'respond to keyholding attendance requests legacy', 'sfskr50l.pdf')"
Pair 1404,"('sfskr51', 'attend sites in response to keyholding requests', 'sfskr51.pdf')","('sfskr51l', 'attend sites in response to keyholding requests legacy', 'sfskr51l.pdf')"
Pair 1405,"('sfskr53', 'make premises secure and complete keyholding attendances', 'sfskr53.pdf')","('sfskr53l', 'make premises secure and complete keyholding attendances legacy', 'sfskr53l.pdf')"
Pair 1406,"('sfsmfp1', 'establish customer requirements for a mechanical fire protection system', 'sfsmfp1.pdf')","('sfs mfp 1l', 'establish customer requirements for a mechanical fire protection solution legacy', 'sfsmfp1l.pdf')"
Pair 1407,"('sfsmfp2', 'prepare and produce quotations for mechanical fire protection systems', 'sfsmfp2.pdf')","('sfs mfp 2l', 'prepare and produce quotations for mechanical fire protection solutions', 'sfsmfp2l.pdf')"
Pair 1408,"('sfsmfp3', 'design systems for mechanical fire protection', 'sfsmfp3.pdf')","('sfs mfp 3l', 'design solutions for mechanical fire protection legacy', 'sfsmfp3l.pdf')"
Pair 1409,"('sfsmfp4', 'install mechanical fire protection', 'sfsmfp4.pdf')","('sfs mfp 4l', 'install mechanical fire protection legacy', 'sfsmfp4l.pdf')"
Pair 1410,"('sfsmfp5', 'commission mechanical fire protection systems', 'sfsmfp5.pdf')","('sfs mfp 5l', 'commission mechanical fire protection solutions', 'sfsmfp5l.pdf')"
Pair 1411,"('sfsmfp7', 'maintain and test the operational performance of mechanical fire protection', 'sfsmfp7.pdf')","('sfs mfp 7l', 'maintain and test the operational performance of mechanical fire protection legacy', 'sfsmfp7l.pdf')"
Pair 1412,"('sfsphs1', 'confirm client’s physical security aims and objectives', 'sfsphs1.pdf')","('sfssvp1', 'confirm client’s aims and objectives in relation to securing void properties', 'sfssvp1.pdf')"
Pair 1413,"('sfsphs10', 'audit physical security solutions', 'sfsphs10.pdf')","('sfssvp10', 'audit void property security solutions', 'sfssvp10.pdf')"
Pair 1414,"('sfsphs11', 'provide continuity of physical security solution', 'sfsphs11.pdf')","('sfssvp9', 'provide continuity of void property security solution', 'sfssvp9.pdf')"
Pair 1415,"('sfsphs2', 'recommend solutions to meet client’s physical security requirements', 'sfsphs2.pdf')","('sfssvp3', 'recommend solutions to meet client’s requirements in relation to securing void properties', 'sfssvp3.pdf')"
Pair 1416,"('sfsphs3', 'survey sites to prepare specifications for physical security solutions', 'sfsphs3.pdf')","('sfssvp2', 'survey sites and prepare specifications for securing void properties', 'sfssvp2.pdf')"
Pair 1417,"('sfsphs4', 'prepare quotations for providing physical security solutions', 'sfsphs4.pdf')","('sfssvp4', 'prepare quotations for providing void property security solutions', 'sfssvp4.pdf')"
Pair 1418,"('sfsphs5', 'plan the installation of physical security solutions', 'sfsphs5.pdf')","('sfssvp5', 'plan the installation of void property security solutions', 'sfssvp5.pdf')"
Pair 1419,"('sfsphs9', 'identify and rectify unsatisfactory performance in the physical security solution', 'sfsphs9.pdf')","('sfssvp8', 'identify and rectify unsatisfactory performance in the void property security solution', 'sfssvp8.pdf')"
Pair 1420,"('sfsslp10', 'control the entry and exit of vehicles', 'sfsslp10.pdf')","('sfsslp10l', 'control vehicle entry and exit legacy', 'sfsslp10l.pdf')"
Pair 1421,"('sfsslp12', 'deal with disorderly and aggressive behaviour', 'sfsslp12.pdf')","('sfsslp12l', 'deal with disorderly and aggressive behaviour legacy', 'sfsslp12l.pdf')"
Pair 1422,"('sfsslp13', 'monitor areas using cctv systems', 'sfsslp13.pdf')","('sfsslp13l', 'monitor areas using cctv systems legacy', 'sfsslp13l.pdf')"
Pair 1423,"('sfsslp15', 'maintain operational performance of cctv systems', 'sfsslp15.pdf')","('sfsslp15l', 'maintain operational performance of cctv systems legacy', 'sfsslp15l.pdf')"
Pair 1424,"('sfsslp17', 'detect loss and theft in retail environments', 'sfsslp17.pdf')","('sfsslp17l', 'detect loss and theft in retail environments legacy', 'sfsslp17l.pdf')"
Pair 1425,"('sfsslp22', 'deal with lost and found property', 'sfsslp22.pdf')","('sfsslp22l', 'deal with lost and found property legacy', 'sfsslp22l.pdf')"
Pair 1426,"('sfsslp27', 'carry out searches of vehicles', 'sfsslp27.pdf')","('sfsslp27l', 'carry out searches of vehicles legacy', 'sfsslp27l.pdf')"
Pair 1427,"('sfsslp4', 'control security incidents', 'sfsslp4.pdf')","('sfsslp4l', 'control security incidents legacy', 'sfsslp4l.pdf')"
Pair 1428,"('sfsslp6', 'maintain the security of property and premises through observation', 'sfsslp6.pdf')","('sfsslp6l', 'maintain the security of property and premises through observation legacy', 'sfsslp6l.pdf')"
Pair 1429,"('sfsslp7', 'control access to and egress from premises', 'sfsslp7.pdf')","('sfsslp7l', 'control access to and egress from premises legacy', 'sfsslp7l.pdf')"
Pair 1430,"('sfsslp8', 'carry out searches of people and their property for unauthorised items', 'sfsslp8.pdf')","('sfsslp8l', 'carry out searches of people and their property for unauthorised items legacy', 'sfsslp8l.pdf')"
Pair 1431,"('sfsslp9', 'provide security at licensed venues', 'sfsslp9.pdf')","('sfsslp9l', 'provide security at licensed venues legacy', 'sfsslp9l.pdf')"
Pair 1432,"('sfstsc10', 'maintain knowledge and understanding of legislation, regulation and codes of practice relevant to technical surveillance counter measures', 'sfstsc10.pdf')","('sfstsc8', 'maintain knowledge and understanding of current technical surveillance counter measures development', 'sfstsc8.pdf')"
Pair 1433,"('sfstsc5', 'carry out technically assisted inspections of premises', 'sfstsc5.pdf')","('sfstsc6', 'carry out physical inspections of premises', 'sfstsc6.pdf')"
Pair 1434,"('sftmve1', 'manage and continuously develop your resources for managing volunteers', 'sftmve1.pdf')","('sftmve2', 'manage and continuously develop your own and others’ capacity for managing volunteers', 'sftmve2.pdf')"
Pair 1435,"('skaa12 (2)', 'contribute to change through implementing and reviewing strategy and policy', 'skaa12 (2).pdf')","('skaa12', 'contribute to change through implementing and reviewing strategy and policy', 'skaa12.pdf')"
